Student_ID,Attendance_Rate,Study_Hours,Previous_Scores,Internet_Access,Result
1174,80.1,6.4,92.4,Yes,Pass
1175,79.2,4.8,83.5,Yes,Fail
1176,87.4,1.2,87.1,Yes,Pass
1177,75.2,6.1,57.4,Yes,Fail
1178,96.8,8.6,80.2,Yes,Pass
1179,71.0,2.1,96.0,Yes,Pass
1180,100.0,2.7,84.0,Yes,Pass
1181,84.4,4.8,94.8,Yes,Pass
1182,62.1,4.0,64.9,No,Fail
1183,58.9,2.7,66.7,Yes,Pass
1184,82.2,1.5,86.3,Yes,Pass
1185,71.6,2.9,76.8,Yes,Pass
1186,85.7,0.5,86.7,Yes,Fail
1187,82.1,6.5,72.9,Yes,Pass
1188,,2.3,65.6,Yes,Pass
1189,62.3,7.2,62.3,Yes,Pass
1190,52.3,3.5,60.8,Yes,Fail
1191,68.3,4.6,71.9,Yes,Pass
1192,87.8,0.9,94.3,Yes,Pass
1193,78.2,6.8,80.0,Yes,Pass
1194,56.3,19.2,73.0,Yes,Pass
1195,77.6,3.1,80.2,No,Pass
1196,80.8,4.6,69.2,Yes,Pass
1197,61.7,5.0,71.0,Yes,Fail
1198,77.3,1.3,80.0,Yes,Fail
1199,75.9,1.7,85.5,Yes,Pass
1200,,6.2,58.3,Yes,Pass
1201,,2.1,59.8,Yes,Fail
1202,83.4,3.5,83.5,Yes,Pass
1203,91.2,4.6,89.1,Yes,Pass
1204,90.8,6.3,83.6,Yes,Pass
1205,54.3,3.6,67.4,Yes,Fail
1206,60.9,3.7,79.2,Yes,Pass
1207,82.7,17.3,76.8,Yes,Pass
1208,82.7,8.0,78.6,Yes,Pass
1209,82.7,3.2,82.1,Yes,Pass
1210,100.0,3.7,77.8,Yes,Pass
1211,83.6,13.2,80.3,Yes,Pass
1212,92.0,6.3,85.4,Yes,Pass
1213,89.3,8.8,100.0,No,Pass
1214,84.8,3.1,79.4,Yes,Pass
1215,70.3,2.8,77.2,Yes,Pass
1216,86.4,11.1,92.4,Yes,Pass
1217,63.4,4.0,63.3,Yes,Fail
1218,71.4,3.9,89.5,Yes,Pass
1219,67.7,2.9,91.5,No,Pass
1220,76.2,8.5,77.8,No,Fail
1221,100.0,4.8,84.6,Yes,Pass
1222,47.0,1.6,79.8,Yes,Fail
1223,85.3,2.7,90.6,Yes,Pass
1224,50.8,9.8,66.2,Yes,Pass
1225,67.9,4.9,88.2,Yes,Pass
1226,91.3,8.6,98.9,No,Pass
1227,76.0,5.6,74.6,Yes,Pass
1228,58.8,1.8,71.9,Yes,Fail
1229,64.3,6.0,77.9,Yes,Pass
1230,85.2,4.0,82.9,Yes,Pass
1231,64.0,2.7,58.1,Yes,Fail
1232,78.2,2.9,69.7,Yes,Pass
1233,75.7,8.4,64.3,Yes,Pass
1234,65.2,5.0,77.5,Yes,Fail
1235,100.0,4.8,78.2,Yes,Pass
1236,84.5,11.9,84.2,Yes,Pass
1237,,2.4,80.6,Yes,Fail
1238,,3.9,93.2,Yes,Pass
1239,65.1,2.6,54.2,Yes,Fail
1240,87.8,5.9,71.1,Yes,Pass
1241,63.1,4.8,63.8,Yes,Pass
1242,73.3,3.2,65.0,Yes,Fail
1243,82.6,3.5,64.8,Yes,Pass
1244,88.0,7.9,83.9,Yes,Pass
1245,57.0,9.3,75.6,Yes,Pass
1246,70.0,2.7,84.5,Yes,Fail
1247,67.9,19.7,69.2,No,Pass
1248,65.2,1.3,69.9,Yes,Fail
1249,100.0,1.7,93.6,Yes,Fail
1250,81.1,3.4,79.5,Yes,Fail
1251,56.1,2.3,76.2,Yes,Fail
1252,88.8,2.0,88.7,Yes,Pass
1253,100.0,9.1,86.2,Yes,Pass
1254,90.5,6.1,66.7,Yes,Pass
1255,52.2,4.5,81.1,Yes,Fail
1256,67.7,2.8,67.0,Yes,Pass
1257,94.0,1.8,90.6,Yes,Pass
1258,64.4,1.7,53.0,Yes,Fail
1259,81.7,9.1,80.7,Yes,Pass
1260,86.6,8.9,84.3,No,Pass
1261,61.1,3.4,72.0,No,Fail
1262,74.1,1.2,100.0,Yes,Fail
1263,26.4,6.5,46.9,No,Fail
1264,59.6,3.4,78.0,Yes,Fail
1265,71.2,8.1,80.8,Yes,Pass
1266,56.3,1.7,61.4,Yes,Fail
1267,99.5,4.4,97.8,Yes,Pass
1268,,1.5,65.1,Yes,Fail
1269,68.4,2.3,83.0,Yes,Pass
1270,77.0,2.3,98.1,Yes,Pass
1271,96.6,3.4,89.8,No,Fail
1272,53.5,9.6,63.9,Yes,Pass
1273,92.4,4.6,96.7,Yes,Pass
1274,75.2,7.2,91.6,Yes,Pass
1275,60.3,4.4,61.3,No,Fail
1276,81.9,3.0,76.4,No,Fail
1277,78.0,0.6,85.8,Yes,Pass
1278,66.0,1.8,71.7,Yes,Fail
1279,76.0,4.2,68.5,Yes,Pass
1280,69.2,4.7,80.0,Yes,Fail
1281,76.7,8.1,85.1,Yes,Pass
1282,84.9,0.9,79.1,Yes,Pass
1283,98.8,15.4,90.0,Yes,Pass
1284,56.4,0.6,62.4,No,Fail
1285,100.0,4.0,79.0,Yes,Pass
1286,45.7,2.6,57.9,Yes,Fail
1287,72.7,1.8,77.1,Yes,Fail
1288,83.8,11.4,67.1,Yes,Pass
1289,79.2,2.7,75.4,Yes,Pass
1290,65.7,0.8,73.7,Yes,Fail
1291,71.9,1.3,87.9,Yes,Pass
1292,67.6,8.8,70.7,No,Pass
1293,66.2,1.4,60.6,Yes,Fail
1294,87.7,1.1,81.8,No,Pass
1295,80.4,4.8,74.5,Yes,Pass
1296,64.6,3.4,77.8,Yes,Pass
1297,88.5,5.8,80.9,Yes,Pass
1298,79.6,3.0,52.7,Yes,Fail
1299,87.2,6.9,100.0,Yes,Pass
1300,84.4,1.2,83.6,Yes,Pass
1301,62.6,1.0,72.2,Yes,Fail
1302,66.6,5.1,57.9,No,Pass
1303,86.2,3.4,68.5,No,Pass
1304,84.2,2.9,81.2,Yes,Pass
1305,74.7,6.5,80.7,No,Pass
1306,76.8,16.9,85.4,Yes,Pass
1307,94.2,9.9,89.5,Yes,Pass
1308,66.1,6.7,61.2,Yes,Pass
1309,83.2,2.8,56.6,Yes,Fail
1310,72.0,11.9,75.0,Yes,Pass
1311,71.7,1.4,70.5,Yes,Pass
1312,91.5,5.6,73.1,Yes,Pass
1313,87.4,3.6,92.0,Yes,Pass
1314,87.2,2.8,67.8,Yes,Fail
1315,94.6,1.5,93.5,Yes,Pass
1316,75.3,20.0,63.5,Yes,Pass
1317,85.2,2.8,83.9,Yes,Pass
1318,70.3,0.3,84.5,Yes,Pass
1319,79.9,7.4,76.6,No,Pass
1320,73.0,5.3,93.4,Yes,Pass
1321,76.5,3.3,97.4,Yes,Fail
1322,83.9,3.1,84.3,Yes,Pass
1323,62.7,3.9,76.8,Yes,Fail
1324,100.0,7.5,100.0,Yes,Pass
1325,59.9,5.3,75.4,Yes,Pass
1326,56.8,6.0,72.8,Yes,Fail
1327,92.4,6.0,81.0,Yes,Pass
1328,86.9,7.7,66.6,Yes,Pass
1329,84.4,9.3,68.3,Yes,Pass
1330,84.4,2.4,100.0,Yes,Pass
1331,74.8,4.8,80.6,Yes,Fail
1332,61.5,9.0,68.3,Yes,Pass
1333,76.1,2.4,90.7,Yes,Pass
1334,64.8,10.4,64.9,Yes,Pass
1335,89.6,2.3,90.6,Yes,Pass
1336,72.8,5.5,77.2,Yes,Pass
1337,62.6,3.4,75.9,No,Fail
1338,70.2,2.9,71.7,Yes,Pass
1339,81.2,5.8,71.0,Yes,Pass
1340,66.5,9.4,65.0,Yes,Fail
1341,62.7,3.3,63.5,Yes,Pass
1342,78.7,9.9,79.3,Yes,Pass
1343,78.7,2.3,63.8,Yes,Fail
1344,67.4,9.4,61.2,Yes,Pass
1345,67.9,4.5,75.3,Yes,Fail
1346,78.5,5.3,78.0,Yes,Pass
1347,53.3,1.5,68.6,Yes,Fail
1348,53.9,2.9,66.5,Yes,Fail
1349,64.2,4.1,97.3,Yes,Pass
1350,71.8,8.7,77.2,Yes,Pass
1351,79.7,3.5,76.1,Yes,Fail
1352,97.1,2.1,89.6,Yes,Pass
1353,87.9,4.9,94.1,Yes,Pass
1354,72.6,14.3,75.8,Yes,Pass
1355,74.7,5.3,84.2,Yes,Pass
1356,60.0,3.5,74.0,Yes,Fail
1357,74.7,5.0,74.4,Yes,Pass
1358,70.7,2.0,76.5,Yes,Pass
1359,79.8,10.8,95.9,Yes,Pass
1360,62.6,10.7,73.7,No,Pass
1361,82.8,1.9,71.5,Yes,Fail
1362,98.0,10.5,85.8,Yes,Pass
1363,73.4,5.0,55.6,Yes,Fail
1364,81.0,6.8,81.9,Yes,Pass
1365,85.4,4.1,95.8,Yes,Pass
1366,,4.4,61.1,Yes,Fail
1367,78.4,2.5,80.7,Yes,Pass
1368,75.2,1.9,87.5,Yes,Fail
1369,76.5,1.8,89.2,Yes,Fail
1370,63.4,8.8,84.5,Yes,Pass
1371,75.4,4.8,59.0,Yes,Pass
1372,82.5,2.0,86.3,Yes,Pass
1373,96.8,4.5,73.3,Yes,Pass
1374,89.4,0.9,74.7,Yes,Fail
1375,100.0,2.0,98.2,No,Pass
1376,,9.4,73.3,Yes,Pass
1377,88.1,2.7,91.3,Yes,Pass
1378,77.8,8.7,69.6,Yes,Pass
1379,100.0,3.9,100.0,Yes,Pass
1380,62.9,6.8,78.3,Yes,Pass
1381,62.4,1.6,80.1,Yes,Fail
1382,66.0,6.1,62.2,Yes,Fail
1383,43.1,0.4,73.3,Yes,Fail
1384,67.1,2.9,70.4,No,Fail
1385,63.6,9.8,65.7,Yes,Pass
1386,77.3,4.3,84.9,Yes,Pass
1387,80.1,1.9,85.9,Yes,Pass
1388,100.0,9.2,81.5,Yes,Pass
1389,89.3,15.4,100.0,No,Pass
1390,66.3,3.4,91.3,Yes,Pass
1391,61.5,0.9,76.8,No,Pass
1392,82.4,4.3,85.5,Yes,Fail
1393,55.2,7.1,70.9,Yes,Fail
1394,100.0,3.6,74.5,Yes,Pass
1395,92.7,0.5,87.5,Yes,Pass
1396,68.0,6.6,75.0,Yes,Pass
1397,49.3,2.3,58.9,Yes,Fail
1398,95.3,2.9,84.6,Yes,Pass
1399,73.3,1.0,52.8,Yes,Fail
1400,93.6,0.3,75.8,Yes,Pass
1401,51.1,1.5,74.8,Yes,Fail
1402,66.0,2.7,90.3,Yes,Pass
1403,75.1,2.7,68.1,Yes,Pass
1404,75.7,11.2,79.7,Yes,Pass
1405,68.2,1.7,85.1,Yes,Fail
1406,84.3,8.2,76.9,Yes,Pass
1407,,4.6,76.3,Yes,Pass
1408,72.9,12.3,76.1,Yes,Pass
1409,76.8,3.9,90.3,Yes,Pass
1410,82.7,0.6,68.5,No,Fail
1411,85.7,3.7,71.8,Yes,Pass
1412,58.1,0.3,71.8,No,Pass
1413,52.0,1.5,67.0,Yes,Pass
1414,94.2,3.7,86.5,Yes,Pass
1415,80.0,3.8,85.8,Yes,Pass
1416,63.8,8.0,62.6,Yes,Pass
1417,98.3,5.7,75.5,Yes,Pass
1418,76.7,11.5,73.3,Yes,Pass
1419,92.7,8.0,82.5,No,Pass
1420,76.0,7.3,75.2,No,Fail
1421,100.0,14.6,100.0,Yes,Pass
1422,100.0,7.7,97.7,Yes,Pass
1423,71.3,10.2,81.0,Yes,Pass
1424,89.6,0.9,87.0,No,Pass
1425,84.7,3.3,78.0,Yes,Pass
1426,95.5,5.6,79.2,Yes,Pass
1427,60.5,4.4,58.3,Yes,Fail
1428,85.3,2.2,75.7,Yes,Pass
1429,90.9,7.4,85.0,Yes,Pass
1430,48.6,8.6,52.8,No,Pass
1431,57.3,3.9,70.3,Yes,Pass
1432,44.4,3.4,60.3,No,Fail
1433,71.0,2.8,71.5,No,Fail
1434,85.8,7.6,94.5,Yes,Pass
1435,97.5,3.3,64.1,Yes,Pass
1436,76.1,4.3,74.2,Yes,Fail
1437,99.4,9.5,66.2,No,Pass
1438,54.3,5.2,69.5,Yes,Pass
1439,49.4,4.3,72.3,Yes,Pass
1440,74.2,2.6,63.6,Yes,Pass
1441,80.8,4.1,68.2,Yes,Fail
1442,74.5,2.3,60.3,Yes,Fail
1443,44.0,4.9,62.6,Yes,Fail
1444,73.7,2.9,73.4,Yes,Pass
1445,55.4,3.2,64.9,Yes,Fail
1446,85.0,4.2,78.8,Yes,Pass
1447,80.5,12.4,70.5,Yes,Pass
1448,60.9,5.5,81.8,Yes,Pass
1449,67.3,1.5,76.4,Yes,Pass
1450,59.1,3.3,57.7,No,Fail
1451,74.1,2.6,70.0,Yes,Fail
1452,89.3,2.5,75.9,Yes,Pass
1453,60.2,2.6,84.2,Yes,Pass
1454,82.6,3.4,88.4,Yes,Pass
1455,67.0,2.3,72.2,Yes,Fail
1456,63.1,2.3,88.6,Yes,Pass
1457,73.4,2.6,91.2,Yes,Pass
1458,59.5,2.5,67.4,Yes,Fail
1459,66.7,2.0,69.2,Yes,Pass
1460,57.0,6.4,64.9,Yes,Fail
1461,100.0,3.1,80.5,Yes,Pass
1462,75.5,3.5,95.1,Yes,Pass
1463,64.5,3.3,62.2,Yes,Pass
1464,78.2,2.4,87.8,Yes,Pass
1465,73.3,2.0,83.6,Yes,Fail
1466,71.7,6.8,72.8,Yes,Pass
1467,84.2,2.1,100.0,Yes,Pass
1468,86.4,2.1,67.6,Yes,Fail
1469,67.0,8.3,72.7,No,Pass
1470,66.4,2.7,68.3,Yes,Fail
1471,70.9,4.1,85.1,Yes,Pass
1472,40.5,3.2,63.8,Yes,Fail
1473,52.3,4.0,48.9,Yes,Fail
1474,95.5,11.0,100.0,Yes,Pass
1475,99.7,2.3,94.7,Yes,Pass
1476,71.3,6.4,65.3,Yes,Pass
1477,83.6,6.8,78.3,Yes,Pass
1478,79.7,6.5,66.9,Yes,Pass
1479,100.0,10.6,88.3,Yes,Pass
1480,91.8,0.5,87.4,Yes,Pass
1481,73.1,1.2,73.2,Yes,Pass
1482,,1.9,65.8,Yes,Fail
1483,50.9,2.8,49.3,Yes,Fail
1484,78.1,5.0,82.4,Yes,Fail
1485,63.7,2.0,52.6,Yes,Fail
1486,53.7,2.0,67.2,Yes,Fail
1487,,4.4,54.7,Yes,Fail
1488,58.8,5.9,69.9,Yes,Pass
1489,100.0,4.1,89.9,Yes,Pass
1490,88.2,6.1,88.1,Yes,Pass
1491,74.9,0.9,86.1,Yes,Fail
1492,97.2,2.3,99.1,No,Pass
1493,76.2,1.8,62.0,Yes,Pass
1494,62.1,2.7,70.5,Yes,Fail
1495,97.8,3.9,100.0,No,Pass
1496,83.1,0.7,82.7,Yes,Fail
1497,59.4,2.6,61.4,Yes,Fail
1498,72.1,2.3,75.3,Yes,Pass
1499,61.9,1.0,67.1,Yes,Fail
1500,54.3,6.2,55.4,Yes,Fail
1501,88.9,4.1,93.1,Yes,Pass
1502,100.0,2.7,95.8,Yes,Pass
1503,54.0,11.9,53.7,Yes,Pass
1504,83.4,1.1,80.8,Yes,Fail
1505,65.2,12.4,66.9,No,Pass
1506,67.7,3.4,57.8,Yes,Fail
1507,66.1,2.1,58.9,No,Fail
1508,62.0,2.7,58.3,Yes,Fail
1509,75.7,3.0,77.3,Yes,Pass
1510,62.5,13.4,66.7,Yes,Fail
1511,79.1,5.0,70.0,Yes,Fail
1512,74.2,1.6,73.2,No,Fail
1513,71.4,6.8,83.2,Yes,Pass
1514,61.4,3.0,74.3,Yes,Fail
1515,66.3,0.2,83.2,Yes,Pass
1516,86.3,6.7,80.9,Yes,Pass
1517,82.5,6.8,97.3,Yes,Pass
1518,60.3,3.1,73.6,Yes,Fail
1519,76.5,2.4,73.4,No,Fail
1520,86.3,7.3,84.1,Yes,Pass
1521,50.0,2.3,52.5,Yes,Pass
1522,83.2,8.4,78.5,Yes,Pass
1523,,2.4,76.8,Yes,Fail
1524,83.6,3.7,87.9,No,Pass
1525,63.6,5.4,67.7,Yes,Pass
1526,47.9,4.6,91.3,Yes,Pass
1527,50.6,2.2,63.6,Yes,Fail
1528,75.7,5.2,61.1,Yes,Pass
1529,78.9,6.6,91.6,Yes,Pass
1530,61.4,1.7,76.8,Yes,Fail
1531,84.6,5.5,84.6,No,Pass
1532,50.1,3.6,60.4,Yes,Pass
1533,74.0,1.8,80.9,Yes,Pass
1534,56.8,5.0,84.6,Yes,Fail
1535,65.2,7.1,74.6,No,Fail
1536,75.7,2.5,63.1,Yes,Fail
1537,62.1,5.2,36.5,Yes,Fail
1538,69.2,3.0,78.4,Yes,Fail
1539,90.1,6.2,75.2,Yes,Pass
1540,66.3,8.0,72.2,Yes,Pass
1541,87.5,4.8,75.7,Yes,Pass
1542,58.1,6.5,60.2,Yes,Pass
1543,82.9,7.3,73.8,Yes,Pass
1544,96.6,2.5,81.6,Yes,Pass
1545,37.9,2.9,66.7,Yes,Pass
1546,63.0,5.3,77.2,Yes,Fail
1547,83.7,9.2,69.8,Yes,Pass
1548,72.0,1.4,65.3,Yes,Fail
1549,80.6,5.7,84.1,Yes,Pass
1550,65.9,8.7,83.5,Yes,Pass
1551,,3.5,88.5,Yes,Pass
1552,72.7,4.0,66.3,Yes,Pass
1553,,3.9,96.1,Yes,Pass
1554,78.8,3.8,61.6,Yes,Fail
1555,80.1,2.1,78.0,Yes,Pass
1556,68.8,3.6,79.3,Yes,Fail
1557,67.7,2.2,53.1,Yes,Pass
1558,68.5,6.2,95.2,Yes,Pass
1559,80.9,0.8,93.7,Yes,Pass
1560,68.7,7.1,80.8,Yes,Pass
1561,79.3,7.9,70.0,No,Pass
1562,100.0,4.6,89.3,Yes,Pass
1563,88.1,11.7,92.0,Yes,Pass
1564,70.1,5.5,63.8,Yes,Fail
1565,93.0,5.0,84.7,Yes,Pass
1566,68.9,0.8,83.6,Yes,Fail
1567,44.4,8.3,47.3,Yes,Pass
1568,59.9,1.9,73.3,Yes,Fail
1569,46.9,1.7,45.9,Yes,Fail
1570,69.7,4.7,65.4,Yes,Fail
1571,75.3,2.2,72.6,Yes,Fail
1572,100.0,3.5,95.1,Yes,Pass
1573,79.9,8.7,72.9,Yes,Pass
1574,71.7,10.9,77.1,Yes,Pass
1575,87.4,2.5,76.8,Yes,Pass
1576,41.8,3.6,55.6,Yes,Fail
1577,78.5,15.8,91.8,Yes,Pass
1578,86.6,10.8,71.8,Yes,Pass
1579,52.8,7.4,74.0,Yes,Pass
1580,92.2,2.2,86.1,Yes,Fail
1581,80.1,2.6,74.3,Yes,Pass
1582,68.8,7.4,62.2,Yes,Pass
1583,84.5,0.6,70.8,Yes,Pass
1584,100.0,8.3,82.6,Yes,Pass
1585,77.7,9.8,77.3,Yes,Pass
1586,78.7,3.2,85.4,Yes,Pass
1587,68.1,11.0,71.0,Yes,Pass
1588,62.3,5.6,68.8,Yes,Pass
1589,87.5,1.5,82.9,No,Pass
1590,62.2,4.4,75.9,Yes,Pass
1591,76.1,2.4,84.5,Yes,Pass
1592,67.8,4.8,60.0,Yes,Fail
1593,82.2,1.4,78.3,Yes,Fail
1594,80.0,11.5,92.3,No,Pass
1595,90.6,6.2,72.1,Yes,Pass
1596,67.3,2.9,74.4,Yes,Fail
1597,71.0,4.9,73.8,Yes,Pass
1598,60.3,4.0,64.5,No,Fail
1599,68.3,11.8,90.1,Yes,Pass
1600,80.7,4.0,80.7,Yes,Fail
1601,86.4,4.7,98.3,No,Pass
1602,61.2,1.2,70.7,No,Fail
1603,88.0,4.8,88.6,Yes,Pass
1604,95.3,5.5,81.9,Yes,Pass
1605,81.2,1.7,74.9,Yes,Fail
1606,100.0,6.8,94.1,No,Pass
1607,63.4,0.6,76.0,Yes,Pass
1608,56.3,3.6,74.1,Yes,Fail
1609,48.3,1.2,67.9,Yes,Pass
1610,97.4,4.3,75.3,Yes,Fail
1611,84.8,3.0,74.3,Yes,Pass
1612,74.2,5.8,85.6,Yes,Pass
1613,79.2,3.9,60.0,Yes,Pass
1614,58.1,5.6,72.0,No,Fail
